26/05/2021 17:42:41	SGMM init started
26/05/2021 17:43:38	SGMM init started
26/05/2021 17:50:51	SGMM init started
26/05/2021 17:52:39	SGMM init started
26/05/2021 17:52:57	SGMM init started
26/05/2021 17:53:14	SGMM init started
26/05/2021 17:53:39	SGMM init started
26/05/2021 17:55:56	SGMM init started
26/05/2021 17:56:21	SGMM init started
26/05/2021 17:57:12	SGMM init started
26/05/2021 17:58:02	SGMM init started
26/05/2021 17:58:14	SGMM init started
26/05/2021 17:59:20	SGMM init started
26/05/2021 17:59:43	SGMM init started
26/05/2021 18:00:23	SGMM init started
26/05/2021 18:02:33	SGMM init started
26/05/2021 18:05:40	SGMM init started
26/05/2021 18:06:33	SGMM init started
26/05/2021 18:07:24	SGMM init started
26/05/2021 18:08:37	SGMM init started
02/06/2021 18:02:14	SGMM init started
02/06/2021 18:03:28	SGMM init started
02/06/2021 18:04:12	SGMM init started
02/06/2021 18:05:37	SGMM init started
02/06/2021 18:05:58	SGMM init started
02/06/2021 18:07:08	SGMM init started
02/06/2021 18:07:08	SGMM end of cycle
02/06/2021 18:07:08	SGMM end of cycle
02/06/2021 18:07:08	SGMM end of cycle
02/06/2021 18:07:08	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:09	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:10	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:11	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:12	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:13	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
02/06/2021 18:07:14	SGMM end of cycle
