Local time,Open,High,Low,Close,Volume
01.01.2017 00:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 01:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 02:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 03:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 04:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 05:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 06:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 07:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 08:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 09:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 10:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 11:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 12:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 13:00:00.000,1.05150,1.05150,1.05150,1.05150,0
01.01.2017 14:00:00.000,1.05148,1.05238,1.05148,1.05177,166.34
01.01.2017 15:00:00.000,1.05179,1.05288,1.05178,1.05230,186.51
01.01.2017 16:00:00.000,1.05230,1.05260,1.05194,1.05206,130.95
01.01.2017 17:00:00.000,1.05206,1.05247,1.05196,1.05221,203.74
01.01.2017 18:00:00.000,1.05221,1.05221,1.05155,1.05168,313.35
01.01.2017 19:00:00.000,1.05169,1.05217,1.05153,1.05197,2148.9299
01.01.2017 20:00:00.000,1.05197,1.05198,1.05150,1.05159,493.49
01.01.2017 21:00:00.000,1.05159,1.05188,1.05108,1.05111,244.81
01.01.2017 22:00:00.000,1.05111,1.05171,1.05105,1.05141,322.83
01.01.2017 23:00:00.000,1.05140,1.05241,1.05125,1.05158,3024.9399
02.01.2017 00:00:00.000,1.05155,1.05183,1.04871,1.04895,6988.4399
02.01.2017 01:00:00.000,1.04896,1.04924,1.04774,1.04870,6174.54
02.01.2017 02:00:00.000,1.04872,1.04895,1.04782,1.04810,6439.4302
02.01.2017 03:00:00.000,1.04810,1.04812,1.04768,1.04789,2234.8101
02.01.2017 04:00:00.000,1.04788,1.04789,1.04650,1.04656,4019.4299
02.01.2017 05:00:00.000,1.04655,1.04690,1.04611,1.04660,4856.75
02.01.2017 06:00:00.000,1.04659,1.04759,1.04642,1.04726,6478.0498
02.01.2017 07:00:00.000,1.04726,1.04739,1.04637,1.04700,7740.0098
02.01.2017 08:00:00.000,1.04698,1.04776,1.04682,1.04694,2478.6899
02.01.2017 09:00:00.000,1.04693,1.04694,1.04618,1.04656,988.47
02.01.2017 10:00:00.000,1.04653,1.04672,1.04602,1.04607,3891.1001
02.01.2017 11:00:00.000,1.04604,1.04648,1.04585,1.04592,4108.3501
02.01.2017 12:00:00.000,1.04591,1.04601,1.04567,1.04591,6075.3301
02.01.2017 13:00:00.000,1.04590,1.04595,1.04501,1.04542,9646.3203
02.01.2017 14:00:00.000,1.04535,1.04703,1.04534,1.04623,1374.45
02.01.2017 15:00:00.000,1.04635,1.04711,1.04559,1.04575,7573.79
02.01.2017 16:00:00.000,1.04575,1.04711,1.04571,1.04661,3633.48
02.01.2017 17:00:00.000,1.04661,1.04807,1.04643,1.04757,4827.6299
02.01.2017 18:00:00.000,1.04759,1.04780,1.04706,1.04719,2916.3301
02.01.2017 19:00:00.000,1.04719,1.04847,1.04712,1.04847,3687.77
02.01.2017 20:00:00.000,1.04847,1.04898,1.04817,1.04882,2424.45
02.01.2017 21:00:00.000,1.04882,1.04901,1.04814,1.04822,2722.98
02.01.2017 22:00:00.000,1.04821,1.04891,1.04811,1.04882,3126.5901
02.01.2017 23:00:00.000,1.04882,1.04888,1.04534,1.04601,10574
03.01.2017 00:00:00.000,1.04608,1.04657,1.04205,1.04349,16763.2305
03.01.2017 01:00:00.000,1.04352,1.04362,1.04001,1.04016,14473.8096
03.01.2017 02:00:00.000,1.04015,1.04165,1.03959,1.03964,11134.54
03.01.2017 03:00:00.000,1.03965,1.03995,1.03811,1.03941,12283.3203
03.01.2017 04:00:00.000,1.03940,1.03943,1.03750,1.03889,13170.9004
03.01.2017 05:00:00.000,1.03890,1.03917,1.03816,1.03914,11392.6904
03.01.2017 06:00:00.000,1.03913,1.04080,1.03849,1.03892,12426.6602
03.01.2017 07:00:00.000,1.03890,1.03902,1.03403,1.03844,23808.7402
03.01.2017 08:00:00.000,1.03847,1.04338,1.03785,1.04153,24010.3691
03.01.2017 09:00:00.000,1.04150,1.04283,1.04100,1.04270,9593.2305
03.01.2017 10:00:00.000,1.04269,1.04318,1.04134,1.04149,8941.8496
03.01.2017 11:00:00.000,1.04149,1.04150,1.04053,1.04108,6589.2202
03.01.2017 12:00:00.000,1.04107,1.04173,1.04020,1.04020,7764.6099
03.01.2017 13:00:00.000,1.04017,1.04069,1.04017,1.04054,3186.6699
03.01.2017 14:00:00.000,1.04051,1.04125,1.04034,1.04089,2322.6699
03.01.2017 15:00:00.000,1.04091,1.04240,1.04091,1.04174,6520.2998
03.01.2017 16:00:00.000,1.04174,1.04176,1.03921,1.03945,7295.04
03.01.2017 17:00:00.000,1.03945,1.04020,1.03900,1.03935,7956.4199
03.01.2017 18:00:00.000,1.03933,1.04062,1.03932,1.04055,6199.3599
03.01.2017 19:00:00.000,1.04055,1.04080,1.03976,1.04051,5213.3301
03.01.2017 20:00:00.000,1.04052,1.04094,1.04025,1.04025,4356.3799
03.01.2017 21:00:00.000,1.04025,1.04092,1.04016,1.04067,3871.3601
03.01.2017 22:00:00.000,1.04066,1.04145,1.03992,1.04062,5035.1499
03.01.2017 23:00:00.000,1.04062,1.04213,1.04055,1.04172,10252.6396
04.01.2017 00:00:00.000,1.04171,1.04401,1.04152,1.04336,15991.2695
04.01.2017 01:00:00.000,1.04336,1.04454,1.04282,1.04379,12969.6904
